Business Name,Date,Amount,Region
Cedar Bakery LLC,2024-01-15,25000,OR
Ironwood Logistics,2024-01-22,40000,WA
Harbor Print Shop,2024-02-03,15000,OR
Meridian Freight Services,2024-02-14,90000,WI
Kestrel Coffee Roasters,2024-02-28,31000,OH
Lantern Street Bakery,2024-03-05,27000,AZ
Lantern Street Bakery,2024-03-05,27000,AZ
Verdent Landscaping,2024-03-11,21000,NM
Foundry Works Group,2024-03-19,59000,VA
Copper Ridge Fitness,2024-03-25,22000,NC
Blue Ridge Tannery,2024-03-28,26000,VA
Atlantic Dental Care,2024-03-30,18000,NC
