Business Name,Date,Amount,Region
Cedar Bakery LLC,2024-01-15,25000,OR
Ironwood Logistics,1/22/2024,40000,WA
Harbor Print Shop,2024-02-03,"$15,000",OR
Meridian Freight Services,2024-02-19,90000,WI
Kestrel Coffee Roasters,2024-02-28,31000,OH
Lantern Street Bakery,2024-03-05,27000,AZ
Lantern Street Bakery,2024-03-05,27000,AZ
Verdant Landscaping,2024-03-11,21000,NM
Foundry Works Group,2024-03-19,61500,VA
Blue Ridge Tannery,2024-03-28,26000,VA
Atlantic Dental Care,2024-03-30,18000,NC
Southwest Roofing Co,2024-03-31,33000,AZ
